climate_region_index,inord_M1,inord_M2,inord_M3,inord_M4,inord_M5,inord_M6,inord_M7,inord_M8,inord_M9,inord_M10,inord_M11,inord_M12,iost_west_M1,iost_west_M2,iost_west_M3,iost_west_M4,iost_west_M5,iost_west_M6,iost_west_M7,iost_west_M8,iost_west_M9,iost_west_M10,iost_west_M11,iost_west_M12,isued_M1,isued_M2,isued_M3,isued_M4,isued_M5,isued_M6,isued_M7,isued_M8,isued_M9,isued_M10,isued_M11,isued_M12
1.000000000000000000e+00,2.671564865112304688e+01,4.289751815795898438e+01,6.653587341308593750e+01,8.487882995605468750e+01,9.911804199218750000e+01,1.000355377197265625e+02,1.018143310546875000e+02,9.066774749755859375e+01,6.986095428466796875e+01,5.084813308715820312e+01,2.678115653991699219e+01,2.045299339294433594e+01,2.671564865112304688e+01,4.289751815795898438e+01,6.653587341308593750e+01,8.487882995605468750e+01,9.911804199218750000e+01,1.000355377197265625e+02,1.018143310546875000e+02,9.066774749755859375e+01,6.986095428466796875e+01,5.084813308715820312e+01,2.678115653991699219e+01,2.045299339294433594e+01,3.733068084716796875e+01,5.251172637939453125e+01,7.100125885009765625e+01,7.920707702636718750e+01,8.329444122314453125e+01,8.083856964111328125e+01,8.347391510009765625e+01,8.238063049316406250e+01,7.119907379150390625e+01,6.098878479003906250e+01,3.667552185058593750e+01,3.080761718750000000e+01
2.000000000000000000e+00,2.285538482666015625e+01,3.775859451293945312e+01,6.109914016723632812e+01,8.495657348632812500e+01,9.242623901367187500e+01,9.152873229980468750e+01,8.941513061523437500e+01,8.575503540039062500e+01,6.754505157470703125e+01,4.871067810058593750e+01,2.487846565246582031e+01,1.427138042449951172e+01,2.285538482666015625e+01,3.775859451293945312e+01,6.109914016723632812e+01,8.495657348632812500e+01,9.242623901367187500e+01,9.152873229980468750e+01,8.941513061523437500e+01,8.575503540039062500e+01,6.754505157470703125e+01,4.871067810058593750e+01,2.487846565246582031e+01,1.427138042449951172e+01,3.413230895996093750e+01,4.815460586547851562e+01,6.347795486450195312e+01,7.824022674560546875e+01,7.490235137939453125e+01,7.160650634765625000e+01,7.055491638183593750e+01,7.646339416503906250e+01,6.706504058837890625e+01,5.642464828491210938e+01,3.311352157592773438e+01,2.161907577514648438e+01
3.000000000000000000e+00,3.427871322631835938e+01,4.362052536010742188e+01,7.322557830810546875e+01,7.956223297119140625e+01,9.614025878906250000e+01,9.355764770507812500e+01,1.026839065551757812e+02,9.017768859863281250e+01,7.343216705322265625e+01,4.670163345336914062e+01,2.941008949279785156e+01,2.747524452209472656e+01,3.427871322631835938e+01,4.362052536010742188e+01,7.322557830810546875e+01,7.956223297119140625e+01,9.614025878906250000e+01,9.355764770507812500e+01,1.026839065551757812e+02,9.017768859863281250e+01,7.343216705322265625e+01,4.670163345336914062e+01,2.941008949279785156e+01,2.747524452209472656e+01,5.255808639526367188e+01,5.325133514404296875e+01,8.246216583251953125e+01,7.330806732177734375e+01,8.138020324707031250e+01,7.653382873535156250e+01,8.604019165039062500e+01,8.237824249267578125e+01,7.627685546875000000e+01,5.504592514038085938e+01,4.499734115600585938e+01,3.954521560668945312e+01
4.000000000000000000e+00,3.476789093017578125e+01,4.389060592651367188e+01,7.625994873046875000e+01,7.956062316894531250e+01,9.656662750244140625e+01,9.789056396484375000e+01,9.659388732910156250e+01,8.934554290771484375e+01,6.757291412353515625e+01,5.535743331909179688e+01,3.134756469726562500e+01,2.772416496276855469e+01,3.476789093017578125e+01,4.389060592651367188e+01,7.625994873046875000e+01,7.956062316894531250e+01,9.656662750244140625e+01,9.789056396484375000e+01,9.659388732910156250e+01,8.934554290771484375e+01,6.757291412353515625e+01,5.535743331909179688e+01,3.134756469726562500e+01,2.772416496276855469e+01,5.349443817138671875e+01,5.362940597534179688e+01,8.556891632080078125e+01,7.483142852783203125e+01,8.322611236572265625e+01,8.028938293457031250e+01,7.855718994140625000e+01,8.254995727539062500e+01,6.980896759033203125e+01,7.113429260253906250e+01,4.882846832275390625e+01,4.088611984252929688e+01
5.000000000000000000e+00,2.308851051330566406e+01,3.791622161865234375e+01,6.246594619750976562e+01,7.515126037597656250e+01,9.854795074462890625e+01,9.720374298095703125e+01,1.058988494873046875e+02,8.830496215820312500e+01,6.875711059570312500e+01,5.197544097900390625e+01,2.672235488891601562e+01,1.982158088684082031e+01,2.308851051330566406e+01,3.791622161865234375e+01,6.246594619750976562e+01,7.515126037597656250e+01,9.854795074462890625e+01,9.720374298095703125e+01,1.058988494873046875e+02,8.830496215820312500e+01,6.875711059570312500e+01,5.197544097900390625e+01,2.672235488891601562e+01,1.982158088684082031e+01,3.234828948974609375e+01,4.835063552856445312e+01,6.609033203125000000e+01,6.890145111083984375e+01,8.283102416992187500e+01,7.850314331054687500e+01,8.546984863281250000e+01,7.856709289550781250e+01,6.820554351806640625e+01,6.502943420410156250e+01,3.936330413818359375e+01,3.525940322875976562e+01
6.000000000000000000e+00,2.952210998535156250e+01,5.290908432006835938e+01,7.464747619628906250e+01,8.664075469970703125e+01,9.884559631347656250e+01,9.945072174072265625e+01,1.051940002441406250e+02,9.565695953369140625e+01,7.392498779296875000e+01,5.666170501708984375e+01,2.990275573730468750e+01,2.455211067199707031e+01,2.952210998535156250e+01,5.290908432006835938e+01,7.464747619628906250e+01,8.664075469970703125e+01,9.884559631347656250e+01,9.945072174072265625e+01,1.051940002441406250e+02,9.565695953369140625e+01,7.392498779296875000e+01,5.666170501708984375e+01,2.990275573730468750e+01,2.455211067199707031e+01,3.372708511352539062e+01,6.755368804931640625e+01,8.053309631347656250e+01,8.111848449707031250e+01,8.424956512451171875e+01,8.125309753417968750e+01,8.567217254638671875e+01,8.749804687500000000e+01,7.634249114990234375e+01,6.748141479492187500e+01,3.815987396240234375e+01,3.550432968139648438e+01
7.000000000000000000e+00,3.014048576354980469e+01,5.373936080932617188e+01,7.508783721923828125e+01,8.644306182861328125e+01,9.838457489013671875e+01,9.938932037353515625e+01,1.057699966430664062e+02,9.228912353515625000e+01,7.490312194824218750e+01,5.621740341186523438e+01,3.082559013366699219e+01,2.508856582641601562e+01,3.014048576354980469e+01,5.373936080932617188e+01,7.508783721923828125e+01,8.644306182861328125e+01,9.838457489013671875e+01,9.938932037353515625e+01,1.057699966430664062e+02,9.228912353515625000e+01,7.490312194824218750e+01,5.621740341186523438e+01,3.082559013366699219e+01,2.508856582641601562e+01,3.536492919921875000e+01,6.937698364257812500e+01,8.162654113769531250e+01,8.115141296386718750e+01,8.419979095458984375e+01,8.186427307128906250e+01,8.913135528564453125e+01,8.508563232421875000e+01,7.791452789306640625e+01,6.707006072998046875e+01,4.748561859130859375e+01,3.718917465209960938e+01
8.000000000000000000e+00,2.023674964904785156e+01,3.320063400268554688e+01,5.976110076904296875e+01,8.062410736083984375e+01,9.798259735107421875e+01,9.175874328613281250e+01,9.672216796875000000e+01,9.021106719970703125e+01,6.707285308837890625e+01,4.473767852783203125e+01,2.133548545837402344e+01,1.490986537933349609e+01,2.023674964904785156e+01,3.320063400268554688e+01,5.976110076904296875e+01,8.062410736083984375e+01,9.798259735107421875e+01,9.175874328613281250e+01,9.672216796875000000e+01,9.021106719970703125e+01,6.707285308837890625e+01,4.473767852783203125e+01,2.133548545837402344e+01,1.490986537933349609e+01,2.685244560241699219e+01,3.537102127075195312e+01,5.866983413696289062e+01,7.342688751220703125e+01,8.223906707763671875e+01,7.158701324462890625e+01,7.674143218994140625e+01,8.101669311523437500e+01,6.621408081054687500e+01,5.117062377929687500e+01,2.711927986145019531e+01,2.116813468933105469e+01
9.000000000000000000e+00,2.289774513244628906e+01,3.753675460815429688e+01,5.985718536376953125e+01,8.845520019531250000e+01,1.016223526000976562e+02,1.026080474853515625e+02,9.502831268310546875e+01,8.659345245361328125e+01,6.621644592285156250e+01,4.763087844848632812e+01,2.185989952087402344e+01,1.509791469573974609e+01,2.289774513244628906e+01,3.753675460815429688e+01,5.985718536376953125e+01,8.845520019531250000e+01,1.016223526000976562e+02,1.026080474853515625e+02,9.502831268310546875e+01,8.659345245361328125e+01,6.621644592285156250e+01,4.763087844848632812e+01,2.185989952087402344e+01,1.509791469573974609e+01,3.422703170776367188e+01,4.523258972167968750e+01,6.184146499633789062e+01,8.218074035644531250e+01,8.318564605712890625e+01,8.179904174804687500e+01,7.946099853515625000e+01,7.753775787353515625e+01,6.728920745849609375e+01,5.787828063964843750e+01,2.577444458007812500e+01,2.253154945373535156e+01
1.000000000000000000e+01,2.714572525024414062e+01,4.089020156860351562e+01,6.994273376464843750e+01,8.838072204589843750e+01,9.788378906250000000e+01,1.022963485717773438e+02,1.019334030151367188e+02,8.982226562500000000e+01,7.135473632812500000e+01,5.074868011474609375e+01,2.799618530273437500e+01,2.227218437194824219e+01,2.714572525024414062e+01,4.089020156860351562e+01,6.994273376464843750e+01,8.838072204589843750e+01,9.788378906250000000e+01,1.022963485717773438e+02,1.019334030151367188e+02,8.982226562500000000e+01,7.135473632812500000e+01,5.074868011474609375e+01,2.799618530273437500e+01,2.227218437194824219e+01,3.546640396118164062e+01,4.943645858764648438e+01,7.859652709960937500e+01,8.279846191406250000e+01,8.376843261718750000e+01,8.459906005859375000e+01,8.152735137939453125e+01,8.208335113525390625e+01,7.392615509033203125e+01,6.104498672485351562e+01,3.871571350097656250e+01,3.652449417114257812e+01
1.100000000000000000e+01,2.459119415283203125e+01,4.053469467163085938e+01,6.081203460693359375e+01,8.663403320312500000e+01,1.024917526245117188e+02,1.064915466308593750e+02,1.075846023559570312e+02,9.245178985595703125e+01,6.834279632568359375e+01,4.906782913208007812e+01,2.568954467773437500e+01,1.798287582397460938e+01,2.459119415283203125e+01,4.053469467163085938e+01,6.081203460693359375e+01,8.663403320312500000e+01,1.024917526245117188e+02,1.064915466308593750e+02,1.075846023559570312e+02,9.245178985595703125e+01,6.834279632568359375e+01,4.906782913208007812e+01,2.568954467773437500e+01,1.798287582397460938e+01,3.739358901977539062e+01,4.721598815917968750e+01,6.338093566894531250e+01,8.179136657714843750e+01,8.597928619384765625e+01,8.586178588867187500e+01,8.828849792480468750e+01,8.426582336425781250e+01,6.899407958984375000e+01,5.836560821533203125e+01,3.402296066284179688e+01,2.760706520080566406e+01
